term,definition
ADC,"Attack Damage Carry, a MOBA term for the role marked 'bot' in this game. Technically inaccurate since Attack Damage isn't a thing in this game, but I refuse to use the term 'marksman' or 'bot laner'."
AP,"Attack Power, this game's equivalent of base damage. Not to be confused with the League of Legends term AP, which stands for Ability Power and is specifically tied to the effects of certain abilities."
Champion,"League of Legends term for hero. I've tried to use 'hero' throughout the guide because that's the term the game uses, but I can't promise I haven't slipped somewhere."
Counterjungle,The act of stealing enemy jungle camps to both gain gold for your team and prevent the enemy jungler from farming.
GA,"League of Legends term for Guardian Angel, an item which revives the holder when killed; in the context of this game, I use it to refer to any item which triggers on death and can negate that death."
Funnel,"A hero you pour all your resources into in the hopes that they carry you in the end-game."
Funneling,"Picking a hero to pour all your resources into in the hopes that they carry you in the end-game."
Frontline/Backline,"General MOBA term for characters who want to fight at the front of the team vs fighting at the back, screened from incoming attacks. This distinction is relevant because multiple roles fall into each category - both tanks and Fighters can function as frontline, for instance."
Gank,"General gaming term for a surprise attack with intent to kill; in MOBA context, this usually means going to another lane (or coming from the jungle) to initiate an uneven fight."
Global,"MOBA term meaning an effect which either hits every viable target on the field, or can be targeted on anything on the field, ignoring range."
Inevitability,"A function by which a hero or item builds up damage or effectiveness over the course of a fight, discouraging or outright preventing stall tactics."
Mage,Usually a burst- or sustained damage-oriented dealer of magic damage; as in this game there is no differentiation between damage types the only real difference between ADCs and mages is itemisation.
Presence,Used to calculate probability of being attacked during a fight - presence/total presence of all allied units.
Skirmish,A small fight involving 1-3 heroes on each team; usually initiated with the expectation to get a single kill or to push enemies out of lane through damage rather than to wipe them all out. Some team comps build around seeking lots of skirmishes.
Snowball,"A term referring to the tendency of some heroes to get rapidly stronger when they start to get ahead, with each subsequent kill making the next come more easily."
Squishy,"A hero with low defences, easily killed if targeted for incoming damage."
Stat Stick,"A term meaning a large amount of stats with no added effects. Usually used in the context of items (e.g. the AP+100 Sword is a stat stick), but can also refer to heroes where they have no in-fight effects and instead seek to overpower through raw stats."
Tower,Alternate word for turret.  It is an objective in a MOBA.
Turret,Alternate word for tower. It is an objective in a MOBA.
True Damage,"Also called Pure damage, this is damage which ignores damage reduction and armour effects."
Tutor,"To tutor something means to search your deck for it and add it to your hand."
Tutoring,"To tutor something means to search your deck for it and add it to your hand."
Vanilla,"Normal, ordinary, with no distinguishing features."
